"Metabolite","Category","HyPea.7404_3","HyPep.1510_1","HyPep.1510_2","HyPep.1510_4","HyPep.4601N_1","HyPep.4601N_2","HyPep.1510_3","HyPep.7504_1","HyPep.7504_2","HyPep.7504_3","HyPep.4601N_3","HyPea.7404_2","HY.YEST.412_1","HY.YEST.412_2","HY.YEST.412_3","HY.YEST.466_1","HY.YEST.466_2","HY.YEST.466_3","HY.YEST.503_1","HY.YEST.503_2","HY.YEST.503_3","HY.YEST.555_1","HY.YEST.555_2","HY.YEST.555_3","HyPea.7404_1","HyPep.YE_2","HyPep.YE_3","HyPep.YE_1"
"Secoisolariciresinol","Other",0.006251034,0.003349354,6.0293132024597e-07,0.003577879,6.68684993679507e-07,8.48043017334179e-07,6.09944011365681e-07,0.022657361,0.02638466,0.040860831,0.004558192,0.003396817,0.029506661,0.060375096,0.044135768,0.140041792,0.073851031,0.087050393,0.044641453,0.038873837,0.019403519,0.112557869,0.059822535,0.168434541,0.004996491,0.002132899,6.08224687534184e-07,0.00313665
"Serine","Amino Acid",0.00610865775,0.039418326875,0.03382051125,0.028861943625,0.057844353875,0.048674738625,0.031843471625,0.012924113125,0.009899217375,0.0119641965,0.043212036,0.00690015725,0.055455924375,0.05598506875,0.062756606125,0.048762993125,0.082777479,0.090105796375,0.012841911125,0.011369359875,0.013195704125,0.005453375,0.00515818425,0.01707394825,0.00668617075,0.08183382275,0.049128876875,0.06994305525
"Sinapic acid","Other",0.000187859,0.199311047,0.185973037,0.132783043,0.065636221,0.054752986,0.195660395,0.013904,0.013590645,0.003705399,0.033732911,8.71342737514467e-05,0.000223425,8.87783166524174e-05,9.8258964048015e-05,0.01432345,0.017757801,0.022988597,0.008170893,0.008292826,0.006155023,0.00836774,0.006727204,0.007125885,5.7048288663683e-05,9.09155724236793e-05,4.58687969370823e-05,0.000161609
"Sn-glycero-3-phosphocholine","Lipids",0.00572655,0.005162454,0.004881193,0.005622547,0.002643041,0.002894353,0.005136142,0.012269597,0.012935897,0.016683284,0.003645376,0.005368128,0.038222663,0.059072595,0.04682308,0.134655029,0.136778692,0.134336055,0.009818089,0.011469904,0.017114936,0.015716324,0.017773873,0.063918885,0.004987539,0.068232262,0.076161791,0.081949721
"Sotalol","Other",0.000108266332208138,0.0162016185,0.018592935,0.022774221,0.022707205,0.034391059,0.0176908985,0.020398087,0.0205419295,0.008793019,0.026301808,0.000526175,0.020011802,0.043732473,0.0234458315,0.000825982,0.0005453965,0.010976471,0.011977149,0.0254081275,0.005185423,0.0042306755,0.0044383695,0.005897255,0.000109599074233339,0.2270700195,0.1062443875,0.3008738145
"Spermidine","Other",0.0143474265,0.0296639185,0.0227094695,0.02956868,0.0148437515,0.010303871,0.027960798,0.0466206225,0.044767692,0.041104583,0.010540704,0.0156882475,0.0603198905,0.0480345265,0.0568873475,0.039745865,0.045193272,0.049773291,0.039019572,0.036708119,0.034077352,0.04361668,0.047922821,0.0327542825,0.015199843,0.0475539275,0.04594712,0.0491263265
"Spermine","Other",0.0062663125844838,3.56111751483593e-06,6.59322409733726e-08,5.74486565671613e-08,0.00152330607173243,0.00147395932836244,6.41617167631334e-08,0.0177829265885546,0.0171701244248723,0.0181462060987907,5.67198633630334e-08,0.00149744914006622,0.0851080666,0.0746188424,0.0805285044,0.0484177722,0.064359604,0.0487810926,0.051022485,0.0581749508,0.037433691,0.0385133868,0.0359161912,0.0380878852,0.000525572640830262,0.0735991332,0.1215142638,0.0795344686
"Succinic acid","Organic acids",0.016538125,0.001443302,0.001271595,0.001233297,0.01037535,0.00844544,0.001284712,0.005080525,0.004576627,0.005851664,0.007808713,0.010346599,0.046023056,0.035313297,0.028660304,0.107778076,0.108023201,0.131801872,0.02339252,0.028731938,0.025869346,0.084227291,0.079504084,0.082744497,0.015103733,0.03784602,0.039935353,0.050789462
"Sucrose","Carbohydrates",0.010458342,0.177111153,0.176846993,0.152725185,0.042456498,0.038739986,0.001925539,0.008483686,0.020443219,0.022824126,0.038743448,0.012042275,0.01027609,0.006518287,0.021351092,0.001159973,0.001620991,0.001407642,0.015553089,0.013490299,0.015128272,0.002628648,0.003441787,0.000716206,0.01387733,0.06625293,0.068452982,0.055323932
"Syringaldehyde","Other",0.005071345,0.089909313,0.117870778,0.110615556,0.088631733,0.102344497,0.100637983,0.036875695,0.037390186,0.034766767,0.067999054,0.000229918,0.007182118,0.005631266,0.005789465,0.004275279,0.042686837,0.044557315,0.019427741,0.013732827,0.008461774,0.009829291,0.014099497,0.015376615,0.00494082,0.003660242,0.003544015,0.004462073
"Syringic acid","Other",1.95954614809526e-08,0.234883827,0.244055299,0.199854478,0.003600459,0.003325324,0.189150837,0.004054546,0.003369748,0.004171495,0.002499593,1.86351982069831e-08,0.002385409,0.005872289,0.003394407,0.008204034,0.005257732,0.00794364,0.012820813,0.016402128,0.005633325,0.007672822,0.006264896,0.01891202,0.000165916,0.002885965,0.002058669,0.005160292
"Thiamine","Vitamins",0.069227567,0.000488807,0.000516479,0.00066487,0.043026012,0.051433163,0.000513308,0.001018815,0.08762385,0.124657117,0.055728822,0.079940432,0.025208577,0.018141663,0.023537531,0.068794054,0.04191061,0.049627197,0.034025187,0.04217921,0.04628781,0.007986372,0.008153543,0.025136209,0.073974366,0.005081564,0.00934966,0.005767207
"Thiazolidine-4-carboxylic acid","Organic acids",0.000623374,0.03142787,0.029736641,0.027883364,0.074317557,0.072823229,0.030161842,0.00216189,0.002917937,0.000576408,0.055738178,0.000969833,0.109826079,0.108118726,0.115925995,0.028138472,0.071819539,0.039281353,0.008634013,0.011837053,0.008010945,0.02791748,0.018624894,0.013093983,0.000805957,0.016493406,0.082897798,0.009236184
"Threonine","Amino Acid",0.00180362549416264,0.0177832574,0.0145917752,0.0138551074,0.0401536904,0.0386402698,0.0122326114,0.0093570592,0.0080591792,0.0101287368,0.0329185466,0.00172588638239937,0.0709074926,0.0638250998,0.067003061,0.07408061,0.0719325562,0.0772647706,0.0248745648,0.0135875446,0.0187089898,0.032629192,0.0189192442,0.029738458,0.00155204141940708,0.0809836824,0.0517670072,0.10097594
"Thymidine-5'-monophosphate","Nucleosides",0.001327881,2.92162566526503e-08,0.000339588,0.000542163,0.065784617,0.045409723,0.000396646,0.011788572,0.006901138,0.010613295,0.04015736,0.003308375,0.002530013,0.001928739,0.003498977,0.003150372,9.88194733564453e-05,0.002560803,0.180819623,0.157779682,0.168736963,0.05451756,0.046759669,0.17516712,0.002187444,0.001400944,0.003702456,0.00859143
"Thymine","Nucleosides",0.004191952,0.004986402,0.006571764,0.002311856,0.012869386,0.011118871,0.002447639,0.008000379,0.006706521,0.009965512,0.040391096,0.005317683,0.007769153,0.007050361,0.006533474,0.023650607,0.086698441,0.021170535,0.16720735,0.098874805,0.031322203,0.03941304,0.079561364,0.020388849,0.004809869,0.089911299,0.009250308,0.191509281
"Trans-4-coumaric acid","Other",0.001000746,0.0664389746666667,0.0755001236666667,0.0492048683333333,0.0204205715330394,0.0220619663333333,0.062366204,0.15298347,0.141758899333333,0.130859296666667,0.0176591549489062,0.000902806111099975,0.018188414,0.0160015853333333,0.0162123693333333,0.0188637276666667,0.0217303526666667,0.0276561963333333,0.00930955233333333,0.0119660123333333,0.00268548364010499,0.00712096621436147,0.00605387133333333,0.0239655103333333,0.00119540603449046,0.0293344493333333,0.0241918476666667,0.024367175
"Trehalose-6-phosphate","Carbohydrates",0.005944924,0.016435008,0.014035412,0.008021414,0.015007913,0.00430206,0.013554181,0.012716549,0.011984465,0.014495275,1.39353954058638e-07,0.002029977,0.183047138,0.164579867,0.184296729,0.006821218,0.027689079,0.004011055,0.018982791,0.03549552,0.038015871,0.012876661,0.008584441,0.020857922,0.004041567,0.034060274,0.047837777,0.090274773
"Triptophenolide","Other",0.0153582932425865,0.1254112365,0.0168647306792814,0.113723134,0.0146251640230865,0.1085668415,0.0136542228122738,0.0181153386532413,0.0191501727280446,0.0178068381084812,0.0171669099840257,0.0209205396190923,0.0186565095883612,0.0219317788960522,0.0209837318508069,0.0178463544358377,0.0170531342188807,0.0174646408417276,0.0138938679805411,0.0150748675510291,0.0214457277470086,0.0851189395,0.0202466081714381,0.0219152618773461,0.150313875,0.0194741938081197,0.0202429506933519,0.0169741360075998
"Tryptamine","Amino Acid",0.001423258,0.000335096,0.000293958,9.07810906374963e-05,0.005647069,0.003623862,0.000387587,0.005301435,0.007116829,0.006170845,0.003746159,0.001221334,0.007105248,0.009978357,0.006374022,0.003398176,0.40439291,0.520717643,0.001111487,1.31708914917206e-08,1.1136579768523e-08,1.44530893637426e-08,1.32375879956178e-08,1.48503345357724e-08,0.001201225,0.002825748,0.002690721,0.004846182
"Tryptophan","Amino Acid",0.00981370693333333,0.0529416958,0.0567061878666667,0.0452015442666667,0.0437183527333333,0.0370167494666667,0.0505509529333333,0.0228790854690296,0.0184130078,0.0223860929333333,0.0350545267333333,0.00809000633333333,0.0455500600304832,0.0450564239708021,0.0464311000666667,0.0715078837333333,0.0503395882,0.0611204979788024,0.0255344994666667,0.0204145591333333,0.0169598656666667,0.0426874988666667,0.0382340011333333,0.0325416846666667,0.0101179708,0.028325505,0.0259516734666667,0.0364552775333333
"Tyr-tyr","Peptides",0.007582544,0.0308570229633705,0.030888357,0.0239208185,0.233945853,0.159711554,0.030202102,0.04917369575,0.02276772975,0.01862280425,0.14421695825,0.00785831748666289,0.00524902075,0.022540936,0.005613859,0.028418952,0.0291818405,0.03156051,0.0205724265,0.01894508325,0.02874291975,0.009876986,0.0101817397034876,0.008311614,0.00532734476177408,0.011139748,0.002480329,0.002108934
"Tyramine","Amino Acid",2.34984701258602e-09,2.18555326517426e-09,2.62128285589741e-09,2.09200899288704e-09,2.29444005851721e-09,1.92181029117098e-09,2.51345081049597e-09,2.09102235255201e-09,2.35917663483581e-09,2.20850002412866e-09,2.31766292708539e-09,2.56104864500729e-09,0.000466114,0.00287466,0.001311744,0.184144724,0.107851926,0.659434859,0.001375681,0.00100535,0.000873136,0.000298891,2.5953894961306e-09,0.03315925,2.11236040004182e-09,0.004968549,0.000389337,0.001845747
"Tyrosine","Amino Acid",0.0135179326666667,0.0437431402666667,0.0397946946,0.0330356463333333,0.037775185,0.0410380916666667,0.0360994646666667,0.0262967353333333,0.0258637845333333,0.0289914976,0.0329585389333333,0.0159804918,0.0371425405333333,0.0384449945333333,0.0348491552666667,0.0709815018666667,0.0416973312,0.0514338718666667,0.0263457753333333,0.0235175704,0.0232027894,0.0232844057333333,0.0227741360666667,0.051108351,0.0119129586,0.0673641188666667,0.0404389376666667,0.0604063581333333
"Udp-d-glucose","Nucleosides",2.45996456803708e-07,2.24906064621333e-07,3.01054912970446e-07,2.48758618676719e-07,2.74970056619745e-07,2.48581696050886e-07,3.15442380522877e-07,0.000176054,2.7773651841945e-07,2.36764513675761e-07,2.20260837814969e-07,2.42063811180127e-07,2.1139599223542e-07,0.004910269,2.77688977865796e-07,0.127433649,0.08393457,0.087676445,0.105367129,0.213259438,0.26097607,0.042246211,0.019092215,0.054923545,3.1168733680891e-07,2.61171106408536e-07,2.65330088344897e-07,2.40731752274047e-07
"Uracil","Nucleosides",0.001192509,0.0047412405,0.005588839,0.00438862981310777,0.00429855959333042,0.00371267087282992,0.00439901725059516,0.030756454,0.017041921,0.0241458425,0.0014051495,0.0023631825,0.038095992,0.0348224575,0.028405891,0.0771675465,0.120457536,0.1932340785,0.0186961965,0.021284829,0.021387713,0.0258161685,0.043926015,0.104004656,0.0031889375,0.0558499185,0.0570525185,0.05257553
"Ureidoglutaric acid","Organic acids",0.0057668515,0.00060817812381544,0.0002808505,0.000418894,0.0047333215,0.005334121,0.0003055035,0.0016393225,0.0002606035,0.002142312,0.007362069,0.0052784655,0.005052091,0.005858587,0.0062605495,0.012756747,0.010353652,0.0102848035,0.0114428155,0.0105912555,0.0107364205,0.3247989145,0.3446714365,0.171977574,0.0062291485,0.016949864,0.005038648,0.012867001
"Uridine","Nucleosides",0.00286792840054313,0.00749845626125809,0.00858505622137232,0.00893371004710605,0.00313554120599464,0.00259992744894061,0.00797341197147852,0.0243626106891192,0.0174959452782394,0.0214378249412202,0.00180860557225558,0.00241026540641735,0.0168424868333333,0.0101785775924222,0.0125795316792372,0.0293984261666667,0.0889522923333333,0.124265206833333,0.0895716048333333,0.0910313081666667,0.103830436,0.0720960678333333,0.0815570926666667,0.112218006833333,0.00241380498444211,0.0171532222375371,0.0235870068333333,0.0152156450653707
"Uridine 5'-diphosphate","Nucleosides",0.001075534,4.22367023874589e-08,4.5579242952944e-08,5.0871023821569e-08,0.0025685555,0.001583299,0.0010150725,0.0165413655,0.012469472,0.01262471,0.003184855,0.0016226355,0.0039820095,0.007176386,0.0043742785,0.0279274435,0.009592182,0.045630147,0.060811387,0.1241540455,0.136125297,0.2166721575,0.1078618215,0.162037038,0.0014798395,0.0141587915,0.01224655,0.013084988
"Uridine 5'-diphospho-n-acetylglucosamine","Nucleosides",6.21126681698721e-08,0.001492336,6.74618489185964e-08,0.0010431775,5.25292541190641e-08,5.61846400284813e-08,0.0033626955,0.003162113,0.0012790635,5.30299791222689e-08,5.32194953727838e-08,5.62151675455578e-08,0.0109697605,0.0061242585,0.0323990455,0.0746570975,0.085626652,0.071720417,0.1292667675,0.109670772,0.12469657,0.1768783645,0.0658701615,0.094508034,5.99119215153949e-08,6.28978562211306e-08,0.0051243205,0.0021478725
"Uridine 5'-monophosphate","Nucleosides",0.0010260295,0.001399097,0.0014480965,0.0012770085,0.000985718900136724,0.001468243,0.001288769,0.006783098,0.00510076,0.0058593515,0.0016017775,0.002288546,0.0190553645,0.009790045,0.0180654235,0.084274077,0.0640197785,0.0819298555,0.0902267635,0.0789196305,0.090089585,0.068898723,0.0600564315,0.128981046,0.000659288,0.0636677415,0.0739124185,0.036927332
"Valine","Amino Acid",0.00229641348182725,0.00111588937189677,0.0210515323011154,0.00104638146346568,0.0232753426666667,0.0175000403333333,0.00107523080501933,0.0206670883333333,0.0494736113333333,0.055042091,0.0064955256344612,0.00224028419202576,0.067398877,0.0818093523333333,0.074748646,0.050987265,0.0574001666666667,0.0536482456666667,0.070927703,0.06928629,0.0528154876666667,0.016900648,0.0107348034330363,0.0146054655837991,0.000220977749299536,0.0660781603333333,0.0635812616666667,0.04757722
"Vanillic acid","Other",0.000214324280371552,0.1608143755,0.1636611505,0.132491818,0.0061256605,0.00212961953394422,0.258075839,0.0428321545,0.00875431,0.0453900335,0.00155992201356084,0.000622592028540246,0.00682365107649343,0.0127335245,0.0083597,0.00541930316526705,0.00545385,0.006312299,0.0219724645,0.03750423,0.015912327,0.008751244,0.00532110626277844,0.013787218,8.35857963429964e-05,0.0087469945,0.005540173,0.014606531
"Verbascose","Carbohydrates",0.036904073,0.002577737,0.006692711,0.004890075,0.204701145,0.187623713,0.013120848,0.033443462,0.046717574,0.05263212,0.183324362,0.04831792,8.07336750522205e-08,8.70674920632375e-08,7.95067207618314e-08,0.001705056,0.008581731,0.00444578,0.037882877,0.026850511,0.025632942,0.022713204,0.003848044,9.24309735233053e-08,0.047393563,6.42567301992802e-08,8.81194681657341e-08,6.09251515279884e-08
"Xanthosine","Nucleosides",0.014681957,0.05412814,0.05676202,0.042182765,0.000945877,0.000704416121578774,0.045160435,0.20648855,0.2282918205,0.1533614985,0.00015580129818517,0.0252745885,0.002874334,0.0025285295,0.0022449715,0.001609087,0.0067113875,0.004983997,0.00489420369557483,0.0030700865,0.0005614545,0.0062329825,0.0128145915,0.0017326435,0.0223006735,0.031887947,0.005332191,0.0620830515
"Xanthurenic acid","Other",0.037841135,0.006538956,0.009352061,0.000798257,0.010810381,0.009304346,0.007207121,0.024965789,0.023007809,0.106090461,0.010274708,0.038258269,0.06965903,0.063244465,0.024762474,0.130968922,0.136821406,0.119846291,0.011765739,0.009573983,0.004859615,0.004345849,0.005672126,0.02024842,0.028560046,0.018556625,0.015989899,0.050675818
