"","Metabolite.name","Adduct.type","Average.Rt.min.","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
"101","Methionine","[M+H]+",15.021,0.000658564899358953,0.118387341931095,0.00182163799827995,0.00165175241412147,0.000768467342778856,0.0131347915812462,0.0157351273801977,0.0152328019004792,0.0199057551557509,0.0211366092037065,0.0265064999064263,0.00023954933733292,0.0231709707458224,0.0250641719634002,0.0224731668752303,0.0585827510081166,0.0405118967895424,0.0230098160410381,0.00737381080091089,0.0514234965692309,0.0241179712422162,0.000140577155114269,0.119149727649882,0.124664377665584,0.111576456244032,0.110674309807323,0.00888318656569594,0.0140044138260873
"102","Methionine","[M+H]+",6.072,0.00243641104712489,0.031494259233651,0.00348153653579278,0.00267900699489177,0.00022690679722892,0.0594894918709596,0.0725859925879892,0.0368128419448394,0.0552930097890233,0.0735351114852949,0.0553262597782336,0.0030451029025825,0.0548724933691909,0.0729378070433606,0.0576084610244067,0.0426851297743619,0.0270386977655881,0.0151734847284718,0.0466179082994867,0.0428369724403202,0.0452477382143101,0.000191140252543892,0.0335370416833441,0.0399083624635115,0.0319652955046392,0.0261249679296462,0.0269723865288282,0.039876182010378
"103","3-Hydroxytyramine","[M+H]+",3.052,0,0.00432935188400803,0.0303824580166208,0.0288402834918203,0.0375162997064958,0.133199560091743,0.0637324566890801,0.0689823802067911,0.0424304528771527,0.128156778479677,0.0147680991442311,0.00326711685271261,0.022649818281321,0.0416809555518878,0.0963539152085465,0.0413617889548463,0.0563894988671864,0.0393611383207033,0.0370504329035502,0.031720629149498,0.0308739897624213,0.00247626201598329,0.00601888469017061,0.00359666079351194,0.00629340339845859,0.015189874891503,0.0087956087738366,0.00458190099624272
"104","Cyclo-prolylglycine","[M+H]+",7.368,0.0118975927903015,0.0683370116548963,0.0097385806647855,0.00805983608326494,0.00947147503382609,0.0140734599348493,0.0319222168149824,0.0275591214199296,0.0106714069054755,0.0119602463704162,0.0177386943715578,0.020617246398125,0.0124945724876606,0.00998224623804542,0.014063965227933,0.0467999822739947,0.0126397113341102,0.00851752498450291,0.0298410670289459,0.0264093526117359,0.0184011703183402,0.0169862005633367,0.0163686043350324,0.0166308956135938,0.223090531408313,0.219226731256197,0.00862751810131896,0.0778730377745288
"105","Cyclo-prolylglycine; PlaSMA ID-262","[M+H]+",3.559,0.0043628270599662,0.0281041501237297,0.0105186810366691,0.00875818606855799,0.0135552061403772,0.110053086530366,0.0969364159925784,0.0580585257965873,0.0460593544389882,0.037610759981934,0.0417355127741856,0.00473756424803337,0.00702888041609514,0.0053122623875796,0.00967862414711251,0.0120245352047484,0.0122951751548007,0.0122772313187464,0.0055682812722214,0.00471252196437135,0.00526554182099197,0.00516087735685476,0.0951166902482702,0.110397426520321,0.0843480060161127,0.0917723700094033,0.0420391386724057,0.0365121672979924
"106","Histidine","[M+H]+",1.697,0.00222034914339768,0.00106889665401639,0.00975341342804221,0.00799864266377921,0.00791841923140056,0.0330250913368775,0.0599474745692518,0.0465982802230388,0.0618776268771106,0.0654072188825226,0.064845792801985,0.00236480661242795,0.0517935730405445,0.0461115483128382,0.0742049162309005,0.00602735040774755,0.0103841936482458,0.00892889959038189,0.0172469715930356,0.0128142920557667,0.0144148195997363,0.00244628035693004,0.0252255746827254,0.0241962411891714,0.0238301645860549,0.0229986211118047,0.151080224060717,0.145270317109549
"107","Histidine","[M+H]+",2.59,0.000488424889822516,0.928278625055336,0.0106808435361972,0.0117145713522392,0.0109668821431103,0.000803385084926084,0.000921436535347536,0.000848738123108098,0.00173031391124401,0.00183746696680289,0.00131285476280486,0.000416257576335286,0.00152223345772158,0.00152189336816973,0.00196429707583906,0.000526413979808703,0.000668063607535887,0.000675447743695979,0.000688877398693344,0.000369478957292081,0.000806029708244829,0.000417232810301329,0.00187363448124422,0.00191652924654686,0.00192497868605203,0.00158840805166269,0.001501059389048,0.0120356221008695
"108","Aconitic acid (not validated, isomer of 271); PlaSMA ID-273","[M+H-H2O]+",2.095,0.179895050541024,7.10118558690847e-05,0.0237539639535448,0.0304142122914735,0.0247366900526023,0.000438622034540921,0,0,0.000534857542454349,0.000423254171516462,0.000515404006890738,0.200547924526733,0,0.000801071363689617,0.000455351788411764,0.052240692130131,0.0520046262715267,0.0769568032952598,0.00156276974622562,0.000816926640280151,0.0011481098227345,0.227967274336389,0.0296229823811106,0.0308301624273454,0.0288827875382543,0.034934586053098,0.00016065294494739,0.000284212283947217
"109","Ala-Ala","[M+H]+",1.711,0.0627921593232635,0.0293237351021514,0.0329864942869568,0.0279725695961744,0.0298665116365599,0.00440607623515928,0.00453287204065812,0.00644777732561473,0.0212210832656185,0.0224396273931432,0.0181394648337689,0.0782184879112544,0.0166084968001766,0.0135731652756492,0.0157567512308329,0.0727532491989006,0.0673873900355556,0.0768749296787887,0.0564699712549748,0.0559057600488805,0.021328565256187,0.0835343124912941,0.0347124986140382,0.0309566772296638,0.0275676623171151,0.0292543652240233,0.0305092702874883,0.0284600761061081
"110","Tryptamine","[M+H]+",10.202,0.00120122534480614,0.00374615943270278,0.00530143545309691,0.00711682970356035,0.00617084550137544,0.00484618197881828,0.00282574824502019,0.00269072148653708,0.00710524888477116,0.00997835791798084,0.00637402211841693,0.00122133395151516,0.00339817600913906,0.404392937295359,0.520717677311863,0.00111148693576138,0,0,0,0,0,0.00142325830843735,0.000335096011055014,0.000293957713747562,0.000387587443493606,9.07810967060749e-05,0.0056470695952798,0.00362386226055632
