Metabolite,Hyd,avg,Category
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.YE_1,0.034521112,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.YE_2,0.022637056,Other
"(2-Oxo-2,3-Dihydro-1h-Indol-3-Yl)Acetic Acid",HyPep.YE_3,0.008383328,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.1510_1,1.11E-06,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.1510_2,1.15E-06,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.1510_3,2.03E-05,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.1510_4,0.000418719,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.4601N_1,0.012652894,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.4601N_2,0.00342312,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.4601N_3,1.47E-06,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.555_1,0.008415763,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.555_2,0.006391107,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.555_3,0.016347371,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPea.7404_1,2.02E-06,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPea.7404_2,3.86E-05,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPea.7404_3,0.00031016,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.412_1,0.204556176,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.412_2,0.10141884,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.412_3,0.07565055,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.466_1,0.010744239,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.466_2,0.015914701,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.466_3,0.029793928,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.503_1,0.459523059,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.503_2,0.005028025,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HY.YEST.503_3,0.00198119,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.7504_2,0.007838091,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.7504_3,0.013706161,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.YE_1,0.003326829,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.YE_2,0.005318676,Other
"(2r)-5-Methoxy-2-Methyl-2,3,8,9-Tetrahydrofuro[2,3-H]Chromen-4-One",HyPep.YE_3,0.004715557,Other
