,Metabolite.name,Adduct.type,Average.Rt.min.,HyPea-7404_1,HyPep-4601N_3,HyPep-7504_1,HyPep-7504_2,HyPep-7504_3,HyPep-YE_1,HyPep-YE_2,HyPep-YE_3,HY-YEST-412_1,HY-YEST-412_2,HY-YEST-412_3,HyPea-7404_2,HY-YEST-466_1,HY-YEST-466_2,HY-YEST-466_3,HY-YEST-503_1,HY-YEST-503_2,HY-YEST-503_3,HY-YEST-555_1,HY-YEST-555_2,HY-YEST-555_3,HyPea-7404_3,HyPep-1510_1,HyPep-1510_2,HyPep-1510_3,HyPep-1510_4,HyPep-4601N_1,HyPep-4601N_2
555,1-Lauroyl-2-Hydroxy-Sn-Glycero-3-Phosphocholine; LC-ESI-QTOF; MS2; CE,[M+H]+,21.207,1.42E-07,0.000267391,0.005927382,0.009461851,0.011913635,0.000253666,1.65E-07,1.52E-07,0.36569178,0.139182587,0.238074052,0.011021891,1.21E-07,1.40E-07,1.39E-07,0.12105889,0.040356134,0.030263549,0.009938965,0.014532282,1.67E-07,1.44E-07,1.55E-07,0.001313598,1.30E-07,0.000283764,0.000457008,1.22E-07
556,Cyanidin-3-O-Galactoside,[M]+,18.957,0.014863115,2.38E-07,0.334402532,0.341507785,0.227883977,2.95E-07,2.93E-07,2.61E-07,2.90E-07,2.72E-07,0.003910023,0.014694979,2.48E-07,2.51E-07,3.24E-07,3.12E-07,3.18E-07,2.58E-07,2.87E-07,3.27E-07,2.39E-07,0.012117042,0.010240898,0.009775275,0.011199012,0.011115377,3.20E-07,0.008285453
557,"[(4R,5S,6R,6as,7R,10ar,11br)-5-Acetyloxy-6-Hydroxy-10a-Methoxy-4,7,11b-Trimethyl-9-Oxo-1,2,3,4a,5,6,6a,7,11,11a-Decahydronaphtho[2,1-F][1]Benzofuran-4-Yl]Methyl Acetate",[M+Na]+,21.897,0.03242317,0.035301166,0.030364386,0.03790527,0.038645335,0.039108024,0.037973965,0.03704891,0.033426935,0.040493513,0.041198,0.041828233,0.028980524,0.031843639,0.034121882,0.033221126,0.033757685,0.038243882,0.036715648,0.037873711,0.038407859,0.037858869,0.040639938,0.030124424,0.03666915,0.033393293,0.027998027,0.034433437
558,Cytidine 5'-Diphosphocholine; LC-ESI-QTOF; MS2; CE,[M+H]+,1.862,0.000363528,0.001019047,0.000576287,0.000514333,0.004009669,0.001355226,0.001592992,0.007580999,0.003335491,0.002114628,0.00864021,0.000331117,0.152872745,0.060514237,0.120928075,0.058390878,0.072266024,0.075791784,0.182600534,0.134655587,0.102539697,6.60E-09,0.000678297,0.001134086,0.000531001,0.000407184,0.002352548,0.002903791
559,Glycocholic Acid,[M+K]+,9.121,0.001015197,0.000666643,0.000517891,0.000928661,0.006771009,0.000587131,0.000950833,0.00077362,0.001867819,0.000601545,0.000375954,0.001374654,0.000811411,0.002161705,0.000971694,0.001122384,0.003147616,0.000485447,0.003715052,0.027985808,0.022975431,0.001875681,0.226401181,0.238449944,0.223482863,0.225281561,0.000622667,0.004078597
560,Melezitose,[M+H]+,1.77,0.015372068,0.043692035,0.13107598,0.125308079,0.117708799,0.001398744,0.000859482,0.001123272,1.76E-08,1.62E-08,0.000901304,0.023561821,1.84E-08,1.91E-08,1.47E-08,0.001728289,0.004476543,0.002003291,0.000959951,1.68E-08,1.48E-08,0.015460945,0.112651312,0.112027101,0.097604468,0.107823382,0.043509101,0.040753917
561,"4-[[4-Hydroxy-2-(2-Methylpropyl)-1-Oxo-3,3a-Dihydro-2H-Imidazo[1,2-A]Indol-4-Yl]Methyl]-1-Methyl-2,4-Dihydro-1H-Pyrazino[2,1-B]Quinazoline-3,6-Dione",[M+Na]+,18.611,5.75E-07,6.42E-07,5.33E-07,5.67E-07,5.88E-07,5.99E-07,6.68E-07,0.058461508,0.092914069,0.107361374,0.193191579,5.95E-07,0.117231658,0.124482452,0.141461819,4.82E-07,6.05E-07,4.85E-07,5.07E-07,5.69E-07,6.98E-07,0.132400968,0.006847518,0.006183639,0.019453543,6.44E-07,4.84E-07,6.31E-07
562,Melezitose,[M+NH4]+,1.831,0.008740307,0.076548686,0.174131192,0.174133608,0.16437967,0.001160906,0.000945828,0.001217946,0.00054373,0.000425222,0.000948448,0.015140431,0.000574344,0.000640064,0.000683747,0.001254808,0.001907738,0.001499302,0.001870927,0.001706383,0.001564862,0.008671655,0.053833292,0.05322809,0.050690501,0.053623951,0.076886341,0.073048021
563,"4-[(E)-3-[(2R,3R,4S,5S,6R)-3-[(2S,3R,4R)-3,4-Dihydroxy-4-(Hydroxymethyl)Oxolan-2-Yl]Oxy-4,5-Dihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxybut-1-Enyl]-3,5,5-Trimethylcyclohex-2-En-1-One",[M+Na]+,17.821,4.60E-06,3.68E-06,5.11E-06,4.32E-06,3.92E-06,4.23E-06,4.42E-06,3.85E-06,5.02E-06,5.40E-06,4.58E-06,3.99E-06,5.35E-06,4.73E-06,4.23E-06,5.40E-06,3.66E-06,3.68E-06,0.999879905,4.37E-06,3.83E-06,5.06E-06,3.96E-06,4.18E-06,3.92E-06,4.43E-06,4.86E-06,5.32E-06
564,Melezitose,[M+Na]+,1.762,0.011801872,0.030342622,0.168907992,0.128529609,0.197395363,0.000664447,0.000870584,0.001087945,0.000584099,1.11E-08,0.002281206,0.022678181,0.000653387,0.001263964,0.001123627,0.002994589,0.001522893,0.00094143,0.003812381,0.003843951,0.004677603,0.009277246,0.082253487,0.096175717,0.083873443,0.077537709,0.034433753,0.030470889
565,Melezitose,[M+K]+,1.749,0.002135918,0.006910737,0.140163045,0.125984981,0.137927885,0.001890773,0.005560754,0.001938719,0.003485281,0.003021612,0.008151708,0.005337552,1.59E-08,0.001193291,2.20E-08,0.015822157,0.013888309,0.00948959,0.010201696,0.013967495,0.007681074,0.004783112,0.117181641,0.130446963,0.11362253,0.103141482,0.007169739,0.008901917
566,"(2R,3R,6R,8R,9S,12S,13R,14R,15R,16R)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",[M+Na]+,19.043,1.12E-07,0.001494484,1.57E-07,1.47E-07,1.41E-07,1.24E-07,1.43E-07,1.17E-07,1.17E-07,1.44E-07,1.43E-07,0.000657937,1.44E-07,1.53E-07,1.19E-07,1.53E-07,1.49E-07,1.48E-07,1.06E-07,1.30E-07,1.52E-07,1.45E-07,0.268696293,0.268947718,0.239175435,0.212531685,0.00849359,1.15E-07
567,"(2R,3R,6R,8R,9S,12S,13R,14R,15R,16R)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2R,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",[M+Na]+,19.034,1.17E-07,0.001494484,1.24E-07,1.37E-07,1.50E-07,1.32E-07,1.23E-07,1.56E-07,1.36E-07,1.20E-07,1.56E-07,0.000657937,1.14E-07,1.32E-07,1.10E-07,1.07E-07,1.35E-07,1.42E-07,1.38E-07,1.15E-07,1.25E-07,1.42E-07,0.268696321,0.268947745,0.23917546,0.212531707,0.008493591,1.44E-07
568,Pantethine,[M+Na]+,17.971,3.26E-07,0.005221508,0.013362224,0.008615717,0.004549398,0.120403535,0.133135386,0.051826244,0.043026344,0.094626935,0.149054105,3.12E-07,2.70E-07,3.80E-07,2.91E-07,0.005830338,0.006648395,3.68E-07,0.005925123,0.003286768,0.008021427,2.99E-07,0.080618991,0.068667767,0.087759889,0.073307372,0.014701866,0.021408424
569,"3-[(2S,3R,4S,5S,6R)-4,5-Dihydroxy-6-(Hydroxymethyl)-3-[(2S,3R,4S,5R)-3,4,5-Trihydroxyoxan-2-Yl]Oxyoxan-2-Yl]Oxy-5,7-Dihydroxy-2-(4-Hydroxyphenyl)Chromen-4-One",[M+H]+,18.969,1.81E-07,1.99E-07,0.371580094,0.393321173,0.233883701,1.51E-07,1.77E-07,1.98E-07,1.56E-07,2.14E-07,0.001210766,1.64E-07,1.86E-07,1.81E-07,1.59E-07,1.73E-07,1.72E-07,2.05E-07,1.91E-07,1.58E-07,1.63E-07,1.74E-07,2.06E-07,2.02E-07,1.53E-07,1.93E-07,1.56E-07,1.55E-07
570,"3-[(2S,3R,4S,5R,6R)-3,5-Dihydroxy-6-(Hydroxymethyl)-4-[(2S,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxyoxan-2-Yl]Oxy-5,7-Dihydroxy-2-(4-Hydroxyphenyl)Chromen-4-One",[M+H]+,18.601,4.91E-07,4.87E-07,0.323724945,0.348358136,0.265580788,5.51E-07,6.45E-07,6.51E-07,6.01E-07,6.04E-07,0.015901618,6.78E-07,5.45E-07,5.28E-07,0.006044324,0.006351679,0.006860822,5.91E-07,4.90E-07,6.65E-07,6.08E-07,4.97E-07,5.35E-07,4.90E-07,6.26E-07,6.46E-07,0.012614607,0.014552154
571,RUTOSIDE  (Rutin),[M+H]+,18.759,7.55E-08,0.007946372,0.340955241,0.39640451,0.241967712,1.08E-07,7.78E-08,9.55E-08,1.03E-07,8.80E-08,9.24E-08,9.99E-08,7.42E-08,9.90E-08,8.01E-08,7.98E-08,8.72E-08,7.70E-08,9.36E-08,8.46E-08,7.27E-08,7.38E-08,7.95E-08,9.68E-08,1.02E-07,1.01E-07,0.005929358,0.006794866
