"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Blank_2","Blank_3","Blank_4","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
6.185,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",6142,64708,68261,63869,3558389,2947605,323748,1149703,1908546,1692793,1859431,1930815,4653560,1401621,1428230,1311678,2488837,595457,2047133,2384688,2645134,2649836,1938818,937292,1774336,1667905,2944756,363702,1267035,2068645,1236235,1096414,1196300,2058648
17.184,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",16188,74558,93528,85459,1561739,1265684,339922,1331461,1183620,1076096,1155390,1470248,567416,814897,599170,737335,489415,363835,7258692,537322,1833750,831075,789529,613578,617872,529841,598271,373852,1782166,660225,1648811,1553538,1014483,1199078
16.474,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",16497,85340,75970,79103,2284938,1923576,180385,1255104,485206,391073,500515,515688,895444,457307,533574,443265,447350,1048092,555567,2128542,757824,867590,856753,237359,512153,464605,2746961,144578,4858217,5055183,4630074,4075315,266654,348100
17.932,"[M+H]+","Tyrosine; LC-ESI-QTOF; MS2; CE",24893,82061,88388,90923,1310592,759704,645539,163157,4213957,4048883,5216981,509777,578635,406733,422606,387173,431927,806111,482859,537671,661855,606281,185858,830700,214136,176841,561412,853667,1832113,1893130,1622237,1424914,266601,302957
18.515,"[M+H]+","Harmane",903844,733107,717384,561578,4834784,4445274,308230,283985,3388942,3243182,4745802,88014253,63859251,21679114,51151532,26627369,8871698,197340,3551702,6337944,5545735,1144323,1233257,1032590,686935,719725,1410043,200949,960674,933052,876795,1262935,466148,501266
1.709,"[M]+","Phosphocholine",NA,41333,52619,44232,14123184,13467237,7983684,3167536,10634674,10382050,21658522,17132655,14564663,39015416,37332200,17849874,27774653,8097335,53036539,43348666,53292790,22411127,7898639,13872562,10684366,12297653,23163026,7350076,4206126,3107906,3708710,3849612,10465565,6439971
1.755,"[M+H]+","N8-Acetylspermidine",NA,NA,NA,NA,7428619,6854937,1682223,1211816,4710654,5203986,4187395,9494148,4280454,7860164,11657350,8150114,8808541,3118972,7873874,4962324,6039405,10902362,10323335,10652586,14540635,11557054,35427183,3127333,2020404,1494546,1413911,1690347,2271810,1701090
2.071,"[M+H]+","Ala-Val",8600,100668,94047,101687,114827647,86768004,164215737,132302046,112575079,80635344,54807037,65894373,54344001,40361629,44164786,59742611,43961272,215818766,76808421,97007038,48838552,131054413,107233844,123361276,65678899,71684311,78485816,172352754,25962861,21603030,23833970,20614969,137507962,138433622
2.38,"[M+H]+","Gly-Ile",7243,93939,107669,91317,260927048,207705340,189862663,185442476,189625385,171287162,195291734,101091026,109030635,92785509,166039018,148380860,154477418,220513508,123573218,128990578,121816627,174778398,138427852,161513568,151022070,141830393,94676390,176086395,396130060,398882031,376706474,352078973,216266752,234589324
1.774,"[M+H]+","Homoarginine",18582,NA,NA,NA,9358897,8512458,37759646,1200642,24163664,23690755,24196848,4858340,6006578,6452525,4475370,2537674,3564561,46600046,3079128,3228853,3717997,4758726,2247409,3334643,3524794,3576146,3200822,30517297,4712642,4188072,4117757,3915962,1540566,1456095
