"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
2.155,"[M-H]-","(-)-Citramalic acid; LC-ESI-QTOF; MS2; CE",13224,27767659,31990480,13415784,7567255,20584524,21206829,10696720,28629054,40056349,26926743,46499989,76916714,42034198,12936656,83816518,3678330,130993441,16436771,17005844,17171554,36033469,49717411,48569595,14456644,20259443,21479613,19059170,18316070,1720038,8015361
5.198,"[M-H]-","Guanine",8985,1573962,1379537,93261,10155,2136491,1046758,1943473,600786,278801,1049812,503167,38905,40107,12203,5301773,5788532,2941779,1389567,964154,902736,1011933,2318583,3418250,9367,38751,11019,10691,4232,11448,15269
4.873,"[M-H]-","Guanine",8043,1098097,20897435,991746,188817,8128708,1046758,9770082,16182591,893744,48694043,29131734,324128,542556,453478,71552649,18723000,55088958,1796942,5015570,1539987,48518248,13466595,60996394,1126297,739984,984113,857477,1025548,552377,506371
1.777,"[M-H]-","Xylitol",7244,4096879,3358967,633852,433610,2572582,2619709,1929213,4551696,4133964,4117701,5777412,5559835,5472422,596783,4494635,6923256,8082863,3046582,3449350,3310818,4549804,4706000,5210606,646705,1713038,1886076,1549624,1749846,510217,485752
3.086,"[M-H]-","5-Aminosalicylic??acid",9853,351663,648535,25797,17818,137060,150412,252310,1954019,1513194,998484,1000898,1385556,841058,54396,56688,104184,189444,208570,247170,276726,148602,64078,281058,9471,279651,304425,337218,248674,36236,10942
7.112,"[M-H]-","3-Hydroxyanthranilic acid",8830,543433,375047,9771,12870,218356,289839,219878,53790,58258,45926,35958,173502,39378,12629,1165701,1080130,1324877,35511,35040,38662,1190391,2496221,811190,15089,8380,9825,22412,17952,12123,22606
9.134,"[M-H]-","PYROCATECHUIC ACID",11798,352621,1311033,24880,16116,4910116,6944313,4930672,287753,304608,21924,369076,348994,311031,18335,228049,63307,316535,392448,300931,218851,307400,277389,381765,65899,217208,256932,179879,221479,23884,15128
17.318,"[M-H]-","PYROCATECHUIC ACID",7791,211505,720694,24438,275861,34969,74087,188600,14366,16336,10757,41814,31635,23436,4518,340363,420147,503372,7927,6787,4834,176454,133265,226032,8386,1578109,1732741,1512726,1563580,1621785,1368332
1.663,"[M-H]-","Histidine",26220,56441171,46746857,1611021,177917456,12239213,13691815,13614788,65736659,108808683,67979467,75166025,114021046,113628288,1486393,109745413,101138740,113659215,8764982,15983211,12220349,20312573,17868975,24915578,1436888,26889954,21486960,23622499,28285887,187413174,191770537
2.081,"[M-H]-","Dihydroorotic acid",2533,298776,368770,5634,26458,41418,35512,24511,3759720,1913516,11259453,699761,515181,1578945,12266,173040,7418,22240,92487,227915,170179,199290,129826,126722,6464,129090,168705,194677,188378,30444,6564
